ten_truong,ma_nganh,ten_nganh,diem_chuan,he_dao_tao,dia_chi,latitude,longitude,chat_luong,nhom_xep_hang,khu_vuc,linh_vuc,hoc_phi,canh_tranh,co_hoi_viec_lam,hoc_bong,chuong_trinh_lien_ket
Đại học Quốc gia Hà Nội,MA0001,Công nghệ thông tin,22,Chính quy,"144 Xuân Thủy, Cầu Giấy, Hà Nội",21.02508907,105.8067192,Chất lượng cao,Top đầu,Cầu Giấy,Khoa học tự nhiên,Thấp,Cao,Cao,Có,Có
Đại học Sư phạm Hà Nội,MA0002,Kỹ thuật điện,22.1,Chất lượng cao,"136 Xuân Thủy, Cầu Giấy, Hà Nội",21.03991374,105.8078435,Tầm trung,Tầm trung,Cầu Giấy,Kỹ thuật,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Công nghệ - ĐHQG Hà Nội,MA0003,Khoa học máy tính,22.2,Liên kết quốc tế,"144 Xuân Thủy, Cầu Giấy, Hà Nội",21.04229504,105.8021987,Bình thường,Top đầu,Cầu Giấy,Kinh tế,Cao,Thấp,Thấp,Có,Có
Học viện Kỹ thuật Quân sự,MA0004,Kỹ thuật hàng không,22.3,Chính quy,"236 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.02540013,105.7989022,Chất lượng cao,Tầm trung,Cầu Giấy,Y - Dược,Thấp,Cao,Cao,Không,Không
Học viện Công nghệ BCVT,MA0005,An toàn thông tin,22.4,Chất lượng cao,"122 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.03194102,105.810093,Tầm trung,Top đầu,Cầu Giấy,Khoa học tự nhiên,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Thương mại,MA0006,Quản trị kinh doanh,22.5,Liên kết quốc tế,"79 Hồ Tùng Mậu, Cầu Giấy, Hà Nội",21.02677659,105.8078882,Bình thường,Tầm trung,Cầu Giấy,Kỹ thuật,Cao,Thấp,Thấp,Không,Không
Đại học Điện lực,MA0007,Kỹ thuật điện tử,22.6,Chính quy,"235 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.04095498,105.8063631,Chất lượng cao,Top đầu,Cầu Giấy,Kinh tế,Thấp,Cao,Cao,Có,Có
Đại học Kinh tế Quốc dân,MA0008,Kinh tế quốc tế,22.7,Chất lượng cao,"207 Giải Phóng, Hai Bà Trưng, Hà Nội",21.03499173,105.7985057,Tầm trung,Tầm trung,Cầu Giấy,Y - Dược,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Công nghiệp Hà Nội,MA0009,Công nghệ vật liệu,22.8,Liên kết quốc tế,"298 Cầu Diễn, Bắc Từ Liêm, Hà Nội",21.03024269,105.8080318,Bình thường,Top đầu,Cầu Giấy,Khoa học tự nhiên,Cao,Thấp,Thấp,Có,Có
Học viện Tài chính,MA0010,Tài chính - Ngân hàng,22.9,Chính quy,"58 Lê Văn Hiến, Bắc Từ Liêm, Hà Nội",21.03040351,105.8052283,Chất lượng cao,Tầm trung,Cầu Giấy,Kỹ thuật,Thấp,Cao,Cao,Không,Không
Đại học Giao thông Vận tải,MA0011,Kỹ thuật ô tô,23,Chất lượng cao,"3 Cầu Giấy, Hà Nội",21.02871294,105.8099989,Tầm trung,Top đầu,Cầu Giấy,Kinh tế,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Y tế Công cộng,MA0012,Y tế công cộng,23.1,Liên kết quốc tế,"1A Đức Thắng, Bắc Từ Liêm, Hà Nội",21.02382713,105.798283,Bình thường,Tầm trung,Cầu Giấy,Y - Dược,Cao,Thấp,Thấp,Không,Không
Học viện Ngân hàng,MA0013,Tài chính ngân hàng,23.2,Chính quy,"12 Chùa Bộc, Đống Đa, Hà Nội",21.04211154,105.8004459,Chất lượng cao,Top đầu,Cầu Giấy,Khoa học tự nhiên,Thấp,Cao,Cao,Có,Có
Học viện Ngoại giao,MA0014,Quan hệ quốc tế,23.3,Chất lượng cao,"69 Chùa Láng, Đống Đa, Hà Nội",21.04014335,105.8100363,Tầm trung,Tầm trung,Cầu Giấy,Kỹ thuật,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Mở Hà Nội,MA0015,Quản trị nhân lực,23.4,Liên kết quốc tế,"96 Định Công, Hoàng Mai, Hà Nội",21.04283231,105.8095106,Bình thường,Top đầu,Cầu Giấy,Kinh tế,Cao,Thấp,Thấp,Có,Có
Đại học Mỹ thuật Công nghiệp,MA0016,Thiết kế thời trang,23.5,Chính quy,"360 Đê La Thành, Đống Đa, Hà Nội",21.03088921,105.8020364,Chất lượng cao,Tầm trung,Cầu Giấy,Y - Dược,Thấp,Cao,Cao,Không,Không
Đại học Văn hóa Hà Nội,MA0017,Quản lý văn hóa,23.6,Chất lượng cao,"418 Đê La Thành, Đống Đa, Hà Nội",21.02832193,105.7954997,Tầm trung,Top đầu,Cầu Giấy,Khoa học tự nhiên,Trung bình,Trung bình,Trung bình,Có,Có
Học viện Phụ nữ Việt Nam,MA0018,Công tác xã hội,23.7,Liên kết quốc tế,"68 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.03042853,105.8075393,Bình thường,Tầm trung,Cầu Giấy,Kỹ thuật,Cao,Thấp,Thấp,Không,Không
Học viện Hành chính Quốc gia,MA0019,Quản lý nhà nước,23.8,Chính quy,"77 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.03687581,105.7978167,Chất lượng cao,Top đầu,Cầu Giấy,Kinh tế,Thấp,Cao,Cao,Có,Có
Học viện Âm nhạc Quốc gia Việt Nam,MA0020,Âm nhạc học,23.9,Chất lượng cao,"77 Hào Nam, Đống Đa, Hà Nội",21.02912037,105.8018941,Tầm trung,Tầm trung,Cầu Giấy,Y - Dược,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Luật Hà Nội,MA0021,Luật,24,Liên kết quốc tế,"87 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.03352817,105.803509,Bình thường,Top đầu,Cầu Giấy,Khoa học tự nhiên,Cao,Thấp,Thấp,Có,Có
Đại học Phòng cháy chữa cháy,MA0022,Kỹ thuật phòng cháy,24.1,Chính quy,"243 Khuất Duy Tiến, Thanh Xuân, Hà Nội",21.04087675,105.8108646,Chất lượng cao,Tầm trung,Cầu Giấy,Kỹ thuật,Thấp,Cao,Cao,Không,Không
Đại học Khoa học Xã hội và Nhân văn,MA0023,Xã hội học,24.2,Chất lượng cao,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",21.02480538,105.8033704,Tầm trung,Top đầu,Cầu Giấy,Kinh tế,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Ngoại ngữ - ĐHQG Hà Nội,MA0024,Ngôn ngữ Anh,24.3,Liên kết quốc tế,"Phạm Văn Đồng, Cầu Giấy, Hà Nội",21.03180853,105.7981254,Bình thường,Tầm trung,Cầu Giấy,Y - Dược,Cao,Thấp,Thấp,Không,Không
Đại học Sân khấu - Điện ảnh,MA0025,Đạo diễn điện ảnh,24.4,Chính quy,"Mai Dịch, Cầu Giấy, Hà Nội",21.03466966,105.8056719,Chất lượng cao,Top đầu,Cầu Giấy,Khoa học tự nhiên,Thấp,Cao,Cao,Có,Có
Đại học Quốc gia Hà Nội,MA0026,Công nghệ thông tin,24.5,Chất lượng cao,"144 Xuân Thủy, Cầu Giấy, Hà Nội",21.03650864,105.8120299,Tầm trung,Tầm trung,Cầu Giấy,Kỹ thuật,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Sư phạm Hà Nội,MA0027,Kỹ thuật điện,24.6,Liên kết quốc tế,"136 Xuân Thủy, Cầu Giấy, Hà Nội",21.03566597,105.8030143,Bình thường,Top đầu,Cầu Giấy,Kinh tế,Cao,Thấp,Thấp,Có,Có
Đại học Công nghệ - ĐHQG Hà Nội,MA0028,Khoa học máy tính,24.7,Chính quy,"144 Xuân Thủy, Cầu Giấy, Hà Nội",21.02883612,105.8036724,Chất lượng cao,Tầm trung,Cầu Giấy,Y - Dược,Thấp,Cao,Cao,Không,Không
Học viện Kỹ thuật Quân sự,MA0029,Kỹ thuật hàng không,24.8,Chất lượng cao,"236 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.03898793,105.7981102,Tầm trung,Top đầu,Cầu Giấy,Khoa học tự nhiên,Trung bình,Trung bình,Trung bình,Có,Có
